Vehicle_Type,Public Vehicle Number,Status,Vehicle_Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,City,State,Record ID
Charter Sightseeing,11543,INACTIVE,FORD,F650,2009,BLACK,Gasoline,N,CAREY LIMOUSINE CHICAGO INC,CHICAGO,IL,11543Charter Sightseeing
Taxi,5108,ACTIVE,TOYOTA,PRIUS,2012,GRAY/WHITE,Hybrid,N,GUDIA CORP.,CHICAGO,IL,5108Taxi
Taxi,4448,ACTIVE,TOYOTA,PRIUS,2011,YELLOW,Hybrid,N,BMC CAB CORP.,CHICAGO,IL,4448Taxi
Taxi,265,ACTIVE,NISSAN,ALTIMA,2011,YELLOW,Hybrid,N,ACROSS THE TOWN CAB CORP,CHICAGO,IL,265Taxi
Livery,9646,ACTIVE,CHEVROLET,SUBURBAN,2013,BLACK,Gasoline,N,MAJED DWIKAT,CHICAGO,IL,9646Livery
Taxi,6510,ACTIVE,TOYOTA,PRIUS,2013,BLUE,Hybrid,N,FAVEN CORP.,CHICAGO,IL,6510Taxi
Livery,7834,ACTIVE,LINCOLN,MKT,2014,BLACK,Gasoline,N,"CHITOWN LIMOUSINE, INC",CHICAGO,IL,7834Livery
Taxi,5845,ACTIVE,TOYOTA,CAMRY,2014,CREAM/BLUE,Hybrid,N,"TAHIR Q RAZAVI, INC.",CHICAGO,IL,5845Taxi
Ambulance,5625,RESERVED,FORD,E350,2007,WHITE,Gasoline,N,MEDICAL EXPRESS AMBULANCE SERV,SKOKIE,IL,5625Ambulance
Taxi,5121,ACTIVE,TOYOTA,CAMRY,2012,YELLOW,Hybrid,N,SURE RIDE TAXI CO.,CHICAGO,IL,5121Taxi
Livery,9035,ACTIVE,LINCOLN,TOWN CAR,2011,BLACK,Gasoline,N,MBS LIVERY INC,CHICAGO,IL,9035Livery
Taxi,4270,ACTIVE,TOYOTA,CAMRY,2010,WHITE,Hybrid,N,CHICAGO MEDALLION TWO LLC.,CHICAGO,IL,4270Taxi
Taxi,4466,ACTIVE,DODGE,CARAVAN,2013,YELLOW,Gasoline,N,"GIDDON, INC.",CHICAGO,IL,4466Taxi
Livery,8039,ACTIVE,LINCOLN,TOWN CAR,2010,BLACK,Gasoline,N,D T & C GLOBAL MANAGEMENT LLC,CHICAGO,IL,8039Livery
Taxi,3894,ACTIVE,FORD,ESCAPE,2009,YELLOW,Hybrid,N,COLOMBO CAB INCORPORATED,CHICAGO,IL,3894Taxi
Taxi,2799,ACTIVE,NISSAN,ALTIMA,2011,WHITE,Hybrid,N,SAM & SONS TAXI CORP.,CHICAGO,IL,2799Taxi
Taxi,5310,ACTIVE,TOYOTA,CAMRY,2013,CREAM/GREEN,Hybrid,N,NYAME BEKYERE INC.,CHICAGO,IL,5310Taxi
Taxi,5446,ACTIVE,FORD,ESCAPE,2012,CREAM/GREEN,Hybrid,N,SUNDAY O ODIASE,CHICAGO,IL,5446Taxi
Taxi,2719,ACTIVE,TOYOTA,CAMRY,2011,BLUE/WHITE,Hybrid,N,EUN CAB COMPANY,CHICAGO,IL,2719Taxi
Livery,8135,ACTIVE,TESLA,SUBURBAN,2014,BLACK,Gasoline,N,E-MOTION CHAUFFEURS AND HIRES LLC,CHICAGO,IL,8135Livery
Taxi,6210,ACTIVE,TOYOTA,PRIUS,2013,GRAY/WHITE,Hybrid,N,MEGABIT 15 INC,CHICAGO,IL,6210Taxi
Livery,9441,ACTIVE,LINCOLN,MKT,2014,BLACK,Gasoline,N,DANAYAL LIMOUSINE INC.,CHICAGO,IL,9441Livery
Taxi,2652,ACTIVE,TOYOTA,CAMRY,2014,WHITE/STARS/STRIPES,Hybrid,N,SPHINX CAB CORP,CHICAGO,IL,2652Taxi
Taxi,4564,ACTIVE,NISSAN,ALTIMA,2009,ORANGE/BLUE,Hybrid,N,EZE TAXI LLC,CHICAGO,IL,4564Taxi
